,0
1216,Aspach-Michelbach
1217,Aspères
1218,Aspet
1219,Aspin-Aure
1220,Aspin-en-Lavedan
1221,Aspiran
1222,Aspremont
1223,Aspremont
1224,Aspres-lès-Corps
1225,Aspres-sur-Buëch
1226,Aspret-Sarrat
1227,Asprières
1228,Asque
1229,Asques
1230,Asques
1231,Asquins
1232,Assac
1233,Assainvillers
1234,Assais-les-Jumeaux
1235,Assas
1236,Assat
1237,Assay
1238,Assé-le-Bérenger
1239,Assé-le-Boisne
1240,Assé-le-Riboul
1241,Assenay
1242,Assencières
1243,Assenoncourt
1244,Assérac
1245,Assevent
1246,Assevillers
1247,Assier
1248,Assieu
1249,Assignan
1250,Assigny
1251,Assis-sur-Serre
1252,Asson
1253,Asswiller
1254,Astaffort
1255,Astaillac
1256,Asté
1257,Aste-Béon
1258,Astet
1259,Astillé
1260,Astis
1261,Aston
1262,Astugue
1263,Athée
1264,Athée
1265,Athée-sur-Cher
1266,Athesans-Étroitefontaine
1267,Athie
1268,Athie
1269,Athienville
1270,Athies
1271,Athies
1272,Athies-sous-Laon
1273,Athis
1274,Athis-Mons
1275,Athis-Val
1276,Athos-Aspis
1277,Attainville
1278,Attancourt
1279,Attenschwiller
1280,Attiches
1281,Attichy
1282,Attignat
1283,Attignat-Oncin
1284,Attignéville
1285,Attigny
1286,Attigny
1287,Attilloncourt
1288,Attilly
1289,Attin
1290,Atton
1291,Attray
1292,Attricourt
1293,Aubagnan
1294,Aubagne
1295,Aubaine
1296,Aubais
1297,Aubarède
1298,Aubas
1299,Aubazat
1300,Aubazines
1301,Aube
1302,Aube
1303,Aubéguimont
1304,Aubenas
1305,Aubenas-les-Alpes
1306,Aubenasson
1307,Aubencheul-au-Bac
1308,Aubencheul-aux-Bois
1309,Aubenton
1310,Aubepierre-Ozouer-le-Repos
1311,Aubepierre-sur-Aube
1312,Auberchicourt
1313,Aubercourt
1314,Aubergenville
1315,Aubérive
1316,Auberive
1317,Auberives-en-Royans
1318,Auberives-sur-Varèze
1319,Aubermesnil-aux-Érables
1320,Aubermesnil-Beaumais
1321,Aubers
1322,Aubertin
1323,Auberville
1324,Auberville-la-Manuel
1325,Auberville-la-Renault
1326,Aubervilliers
1327,Aubessagne
1328,Aubeterre
1329,Aubeterre-sur-Dronne
1330,Aubiac
1331,Aubiac
1332,Aubiat
1333,Aubière
1334,Aubiet
1335,Aubignan
1336,Aubignas
1337,Aubigné
1338,Aubigné
1339,Aubigné-Racan
1340,Aubigné-sur-Layon
1341,Aubignosc
1342,Aubigny
1343,Aubigny
1344,Aubigny
1345,Aubigny
1346,Aubigny-au-Bac
1347,Aubigny-aux-Kaisnes
1348,Aubigny-en-Artois
1349,Aubigny-en-Laonnois
1350,Aubigny-en-Plaine
1351,Aubigny-la-Ronce
1352,Aubigny-Les
1353,Aubigny-les-Pothées
1354,Aubigny-lès-Sombernon
1355,Aubigny-sur-Nère
1356,Aubilly
1357,Aubin
1358,Aubin
1359,Aubin-Saint-Vaast
1360,Aubinges
1361,Auboncourt-Vauzelles
1362,Aubonne
1363,Aubord
1364,Auboué
1365,Aubous
1366,Aubres
1367,Aubréville
1368,Aubrives
1369,Aubrometz
1370,Aubry-du-Hainaut
1371,Aubry-le-Panthou
1372,Aubure
1373,Aubussargues
1374,Aubusson
1375,Aubusson
1376,Aubusson-d'Auvergne
1377,Aubvillers
1378,Auby
1379,Aucaleuc
1380,Aucamville
1381,Aucamville
1382,Aucazein
1383,Aucelon
1384,Aucey-la-Plaine
1385,Auch
1386,Auchay-sur-Vendée
1387,Auchel
1388,Auchonvillers
1389,Auchy-au-Bois
1390,Auchy-la-Montagne
1391,Auchy-lès-Hesdin
1392,Auchy-les-Mines
